rang,zone,confiance,source,note
1,Trash Pit,guide,strategywiki walkthrough,premiere zone du parcours des freres ; mesure run45 les 7 tresors les plus precoces y sont
2,Cavi Cape,guide,strategywiki walkthrough,Bowser se reveille ; mesure run53 tresors pris juste apres ceux du Trash Pit
3,Plack Beach,guide,strategywiki walkthrough,octroi mesure du Vacuum salle 61
4,Pump Works,guide,strategywiki walkthrough,octroi mesure de la forme miniature salle 13
5,Dimble Wood,guide,strategywiki walkthrough,apres Flame Pipe qui ne porte aucun tresor ; octroi mesure du Sliding Haymaker salle 50
6,Bumpsy Plains,guide,strategywiki walkthrough,
7,Bowser Path,guide,strategywiki walkthrough,page Bowser's Castle Path
8,Flab Zone,guide,strategywiki walkthrough,octroi mesure du Spin Jump salle 104 et des badges salle 184
9,Tunnel,guide,strategywiki walkthrough,page Cavi Cape Tunnel
10,Toad Town,guide,strategywiki walkthrough,page Toad Town Caves ; octroi mesure des Blue Shell Blocks salle 207 et des Air Vents salle 298
11,Blubble Lake,faible,deduction,le guide place le Body Slam a Blubble Lake et notre balayage le pose Tower of Yikk salle 324 ; la tour est dans le lac
12,Tower of Yikk,faible,deduction,octroi mesure du Body Slam salle 324
13,Energy Hold,faible,guide + balayage,le guide dit que le Drill s'y debloque et le balayage le pose salle 229
14,Bowser Castle,faible,deduction,
15,Airway,faible,deduction,zone tardive du corps
16,Peach's Castle,faible,decision de prudence,visitee au prologue ET en fin de jeu ; placee en dernier parce que la masse de ses tresors est de fin de partie et qu'une exigence en trop est sans danger alors qu'une exigence manquante bloque le joueur
